domainId,categoryId,categoryTitle,breadcrumb,mediaGroup,name,subName,pen,sel,reach,benchmarkPen
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Chrysler,,6.2,1.45,19759,4.275862068965518
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Xpeng (Proxy),,6.1,1.45,19431,4.206896551724138
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Opel,,41.1,1.44,131984,28.541666666666668
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Skoda Auto,,40.4,1.44,129681,28.055555555555557
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Fiat Automobiles,,38.7,1.44,124213,26.875000000000004
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Lexus,,35.1,1.44,112747,24.375000000000004
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Jeep,,32.9,1.44,105410,22.84722222222222
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Buick,,6.5,1.44,20773,4.513888888888889
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Husqvarna,0.6,1.44,1981,0.4166666666666667
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,SEAT,,40.9,1.43,131295,28.6013986013986
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,General Motors (vehicles),,11,1.43,35141,7.6923076923076925
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Rev It,10.6,1.43,34096,7.4125874125874125
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,BMW i (vehicle),,9.4,1.43,30293,6.573426573426574
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Dunlop,5,1.43,15890,3.4965034965034967
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Continental AG,3.8,1.43,12195,2.6573426573426575
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Falken Tires,3.3,1.43,10543,2.3076923076923075
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Toyo Tire & Rubber Company,3,1.43,9711,2.097902097902098
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Maserati,,39.7,1.42,127346,27.957746478873243
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Mitsubishi Motors,,22.3,1.42,71440,15.704225352112678
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Infiniti,,12.7,1.42,40614,8.943661971830986
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Cadillac,,10.3,1.42,33046,7.253521126760564
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Pirelli,5.6,1.42,17898,3.943661971830986
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,MG Cars (vehicles),,4.7,1.42,15114,3.309859154929578
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,O'Reilly Auto Parts,,0.5,1.42,1724,0.35211267605633806
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Volkswagen (vehicle),,64.1,1.41,205740,45.46099290780142
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Renault,,49.3,1.41,158170,34.9645390070922
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Bentley,,40.7,1.41,130578,28.865248226950357
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Volvo,,37.2,1.41,119304,26.38297872340426
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Rolls-Royce Motor Cars,,33.9,1.41,108629,24.04255319148936
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Chevrolet,,21.5,1.41,68905,15.24822695035461
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Held,17.7,1.41,56850,12.553191489361703
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Isuzu Motors,,12.5,1.41,40259,8.865248226950355
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Dodge,,12.4,1.41,39797,8.794326241134753
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Lotus Cars,,12.1,1.41,38758,8.581560283687944
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Smart (automobile),,9.5,1.41,30431,6.73758865248227
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Hankook Tire,4.3,1.41,13943,3.049645390070922
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,GMC (automobile),,3.1,1.41,9999,2.1985815602836882
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Lincoln Motor Company (vehicles),,1.9,1.41,6066,1.3475177304964538
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Iveco,,11.3,1.4,36124,8.071428571428573
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Subaru,,11.1,1.4,35509,7.928571428571429
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,MAN Truck & Bus,,8.8,1.4,28247,6.2857142857142865
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Bridgestone,5.7,1.4,18425,4.071428571428572
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tyre,Goodyear Tire and Rubber Company,5.6,1.4,17823,4
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,RST,4.3,1.4,13662,3.0714285714285716
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,Harley Davidson Military,0.4,1.4,1147,0.28571428571428575
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Aston Martin,,40.7,1.39,130567,29.28057553956835
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tata Motors,,4.4,1.39,14209,3.165467625899281
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Ferrari,,48,1.38,153938,34.78260869565218
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Peugeot,,47.4,1.38,152039,34.34782608695652
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Hyundai,,47.1,1.38,151212,34.1304347826087
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Voyah (Proxy),,10.9,1.38,35053,7.898550724637682
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,TCX,10.1,1.38,32241,7.3188405797101455
