Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Basketball;92632;2210577;0.28875311720698255;0.2834073076923077;60
Basketball club;6118;148401;0.019071072319201996;0.01902576923076923;24
Basketball players;1025;33432;0.003195137157107232;0.004286153846153846;1
Beauty & Personal care;224195;6659715;0.6988622194513716;0.8538096153846154;34
Beer;117528;2739704;0.366359102244389;0.35124410256410254;70
Belgian Media;101636;2567441;0.31682044887780547;0.3291591025641026;48
Belgium;113936;2810248;0.3551620947630923;0.36028820512820514;58
Birth;108577;2971138;0.33845698254364087;0.3809151282051282;32
Birthday;67738;1747135;0.21115336658354114;0.22399166666666667;34
Blog/Forum;87997;2200628;0.2743048628428928;0.28213179487179485;45
Board games;107968;2855052;0.3365586034912718;0.3660323076923077;38
Boho-chic Fashion;21812;684833;0.0679925187032419;0.08779910256410256;2
Book;135063;3915155;0.4210193266832918;0.5019429487179488;24
Boxing;55324;1347264;0.17245635910224438;0.17272615384615383;40
Business Accounting & Finance;4374;82399;0.013634663341645885;0.01056397435897436;65
Business Networker;22048;478749;0.06872817955112219;0.061378076923076924;49
Business School;78619;1775885;0.2450716957605985;0.2276775641025641;65
Businessman;12152;245730;0.03788029925187032;0.03150384615384615;58
Cabrios/Roadsters;20871;328186;0.06505922693266833;0.0420751282051282;88
Cameras and photos;95715;2263374;0.2983634663341646;0.29017615384615386;62
Camping;180092;4074777;0.5613840399002494;0.5224073076923077;83
Candies & snacks;115366;3263700;0.35961970074812966;0.4184230769230769;26
Car equipment;156118;2521985;0.4866521197007481;0.32333141025641027;96
Car renting;2272;54156;0.007082294264339152;0.006943076923076923;25
Car sharing;23069;441507;0.07191084788029925;0.05660346153846154;70
Card games;69419;1974282;0.21639339152119702;0.25311307692307694;15
Career development;133663;3352548;0.41665523690773065;0.42981384615384616;60
Cartoons & animated movies;127087;3281267;0.3961564837905237;0.42067525641025644;50
Casual clothing;89457;2873379;0.2788559850374065;0.3683819230769231;3
Celebrations days;97404;2631055;0.30362842892768077;0.3373147435897436;33
Celebrities;108242;2858023;0.33741271820448876;0.36641320512820513;39
Charity and causes;118076;3074100;0.36806733167082295;0.3941153846153846;45
Cheap & Discount;216261;4461992;0.6741302992518703;0.5720502564102564;92
Chefs;8548;256189;0.026645885286783043;0.03284474358974359;4
Chemicals;90261;1623318;0.2813622194513716;0.2081176923076923;90
Chocolate;100205;2770901;0.3123597256857855;0.35524371794871795;28
Cinema & Movie Companies;73627;2154350;0.22951059850374064;0.276198717948718;11
Cinematographic exploitation;30123;786366;0.0938996259351621;0.10081615384615385;21
Classical music;82364;2358547;0.2567456359102244;0.3023778205128205;16
Climate;34421;748723;0.10729738154613466;0.0959901282051282;55
Club/Federation;140029;7285175;0.4364993765586035;0.9339967948717949;0
Cocktails;83937;2010019;0.2616490024937656;0.2576947435897436;55
Coffee;164899;4348046;0.5140243142144638;0.5574417948717949;56
Collector;47173;1159169;0.14704800498753118;0.14861141025641025;37
Comedians & Actors;51315;1434654;0.15995947630922694;0.18393;14
Comedy;131867;3552048;0.4110567331670823;0.4553907692307692;40
Comics;80172;2334787;0.24991271820448877;0.29933166666666666;13
Communication;118015;2963954;0.3678771820448878;0.37999410256410254;55
Computer;232864;5565998;0.7258852867830424;0.7135894871794872;83
Computer Game Distribution Service;25758;568799;0.0802930174563591;0.07292294871794872;47
Conceptual art;11922;309205;0.037163341645885285;0.039641666666666665;16
Connectivity;235186;6650340;0.7331234413965088;0.8526076923076923;50
Console gaming;101301;2454325;0.31577618453865336;0.3146570512820513;59
Consulting;57074;1323397;0.17791147132169577;0.16966628205128206;51
Consumer Experience;123435;2584754;0.3847724438902743;0.3313787179487179;82
Contemporary culture;122459;3450076;0.3817300498753117;0.4423174358974359;29
Country music;48899;1241845;0.15242830423940149;0.15921089743589745;31
Coupe;185806;2956991;0.5791957605985038;0.37910141025641025;97
Credit;1196;25447;0.0037281795511221946;0.0032624358974358975;42
Credit Cards;3746;64322;0.011677057356608478;0.008246410256410257;76
Credit card;9690;165820;0.03020573566084788;0.02125897435897436;77
Cricket;20021;589388;0.06240960099750623;0.07556256410256411;5
Crossfit;68807;1876386;0.2144856608478803;0.2405623076923077;23
Cruelty-free;84374;2380327;0.26301122194513715;0.30517012820512823;20
Cryptography;37823;795206;0.11790211970074813;0.10194948717948718;63
Cubism;4083;127636;0.012727556109725686;0.016363589743589743;2
Culture;218321;5863175;0.6805517456359103;0.7516891025641026;63
Cyberpunk;7790;175619;0.024283042394014964;0.02251525641025641;36
Cycling;226889;4662186;0.7072599750623442;0.5977161538461538;93
DC Universe;22761;608807;0.0709507481296758;0.07805217948717949;15
Dance & Pop music;108272;3077323;0.3375062344139651;0.39452858974358973;23
Darts;34550;747981;0.1076995012468828;0.095895;57
Dating;13455;258589;0.04194201995012469;0.0331524358974359;67
Decorative Art;116828;2951084;0.3641770573566085;0.37834410256410256;53
Defense/Military;33058;728120;0.10304862842892767;0.09334871794871795;52
Delivery services;92898;2363244;0.2895822942643392;0.30298;44
Department store;140147;4079751;0.43686720698254367;0.523045;23
Designer;88636;2536013;0.27629675810473814;0.3251298717948718;18
Desserts;149737;4183703;0.46676122194513714;0.5363721794871795;36
Diary;7839;231343;0.0244357855361596;0.029659358974358976;4
Digital Art;18455;483384;0.05752805486284289;0.061972307692307695;17
Discrimination, Rights & Freedom;55609;1154659;0.17334476309226932;0.14803320512820514;71
Disney;105259;2387741;0.3281140897755611;0.306120641025641;72
Dj's;29195;835047;0.0910068578553616;0.10705730769230769;8
Do it yourself;240343;6483085;0.7491988778054863;0.8311647435897436;66
Documentary;93172;2366214;0.2904364089775561;0.3033607692307692;44
Drama;104497;2817432;0.32573877805486284;0.3612092307692308;35
Drama movies;77006;2190981;0.24004364089775562;0.280895;17
Drugs;60863;1441382;0.18972256857855363;0.18479256410256412;48
E-commerce;231607;6512371;0.7219669576059851;0.834919358974359;51
EU and International Political stakeholders;10479;281834;0.03266521197007481;0.0361325641025641;11
Economy;203169;3920899;0.633319825436409;0.502679358974359;95
Economy & budget;114210;2484763;0.35601620947630924;0.318559358974359;78
Electric cars;162389;2621824;0.5062001246882794;0.33613128205128207;96
Electro music;117436;3067170;0.366072319201995;0.3932269230769231;44
Energy;264207;4991555;0.8235879052369077;0.6399429487179488;96
Energy Policy;53226;923478;0.16591645885286782;0.11839461538461539;87
Energy drinks;39428;883560;0.12290523690773067;0.11327692307692308;51
Energy provider;8287;152372;0.025832294264339153;0.019534871794871796;70
