Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Adobe Creative Cloud;15610;435725;0.048659600997506235;0.05586217948717949;23
Adobe Illustrator;12274;341988;0.038260598503740646;0.043844615384615385;23
Adobe InDesign;4315;145609;0.01345074812967581;0.018667820512820513;5
Adobe Photoshop;20202;524854;0.06297381546134663;0.06728897435897437;36
Adobe Photoshop Lightroom;9133;224983;0.028469451371571072;0.02884397435897436;41
Adobe Premiere Pro;10330;247601;0.03220074812967581;0.03174371794871795;47
Advance Auto Parts;19748;311759;0.06155860349127182;0.03996910256410256;95
Advanced Micro Devices;3053;56446;0.009516832917705735;0.007236666666666666;81
Advent Sleep;2308;48982;0.007194513715710723;0.00627974358974359;64
Adventure;104013;2625051;0.32423004987531173;0.336545;69
Adventure Time (television show);2051;40285;0.006393391521197007;0.005164743589743589;75
Adventure fiction;6789;197328;0.021162718204488777;0.025298461538461537;15
Adventure film;26617;698691;0.0829706982543641;0.08957576923076924;36
Adventure game;24217;703201;0.07548940149625935;0.09015397435897436;19
Adventure park;21370;573478;0.06661471321695761;0.07352282051282051;30
Adventure travel;148187;3775116;0.4619295511221945;0.4839892307692308;77
Advertising;143015;3546355;0.4458073566084788;0.45466089743589744;80
Advertising agency;35241;826807;0.10985349127182045;0.10600089743589744;62
Advertising campaign;12164;287327;0.03791770573566085;0.03683679487179487;50
Aerobic exercise;19922;522055;0.062100997506234414;0.06693012820512821;34
Aerobics;12347;383398;0.03848815461346634;0.04915358974358974;10
Aeronautics;5406;108452;0.016851620947630923;0.013904102564102565;74
Aerospace engineering (engineering);38049;878974;0.11860660847880299;0.11268897435897436;66
Aesop (author);1233;45837;0.003843516209476309;0.005876538461538462;2
Aetna;1471;25679;0.004585411471321695;0.003292179487179487;85
Afrojack;6193;257689;0.01930486284289277;0.03303705128205128;1
Age of Empires (video game);801;24871;0.0024968827930174566;0.0031885897435897435;0
Agoda.com;14689;376474;0.04578865336658354;0.04826589743589744;37
Agribusiness (agriculture);50817;1205267;0.1584071072319202;0.15452141025641025;65
Agricultural science;12454;259964;0.038821695760598504;0.03332871794871795;72
Agriculture;148116;3570896;0.4617082294264339;0.45780717948717947;84
Air Canada;1210;27035;0.0037718204488778055;0.003466025641025641;55
Air Force 1 (shoe);4698;119179;0.014644638403990025;0.015279358974358974;35
Air France;21949;518840;0.06841957605985037;0.06651794871794872;54
Air Jordan;8946;218177;0.027886533665835413;0.027971410256410256;43
Air filter;15534;285552;0.04842269326683292;0.03660923076923077;85
Air purifier;14268;310441;0.044476309226932666;0.0398001282051282;66
Air travel;27818;567740;0.086714463840399;0.07278717948717948;79
Airbnb;73840;1949078;0.23017456359102245;0.24988179487179488;50
Aircraft;25427;537148;0.07926122194513716;0.0688651282051282;75
Airline;22013;471508;0.06861907730673317;0.06044974358974359;72
Airplane;17449;351519;0.05439214463840399;0.04506653846153846;78
Akshay Kumar;1399;48574;0.0043609725685785534;0.006227435897435897;4
Alain Ducasse (chef);3174;85886;0.009894014962593517;0.011011025641025641;24
Alarm device;22588;466529;0.07041147132169576;0.059811410256410256;77
Albert Heijn;35403;869324;0.11035847880299252;0.11145179487179487;52
Alcohol (industry);34255;824769;0.10677992518703242;0.10573961538461539;56
Aldi;62622;1478436;0.19520573566084787;0.18954307692307693;70
Ale (beer);5112;135988;0.015935162094763092;0.017434358974358976;27
Alexander McQueen;11830;296759;0.036876558603491275;0.03804602564102564;39
Alexandra Madison;7430;139990;0.023160847880299252;0.017947435897435898;81
Alfa Romeo;108926;1831704;0.33954488778054864;0.23483384615384614;98
Alfred Dunhill Ltd. (apparel);1196;27645;0.0037281795511221946;0.003544230769230769;49
AliExpress;9709;210037;0.030264962593516208;0.026927820512820513;65
Alia Bhatt;5103;156183;0.0159071072319202;0.02002346153846154;11
Alibaba.com;995;21449;0.0031016209476309228;0.0027498717948717948;0
Alice in Wonderland (2010 film);3172;90913;0.00988778054862843;0.01165551282051282;17
Alicia Keys;1733;53961;0.00540211970074813;0.0069180769230769235;9
Alien (franchise);864;27111;0.002693266832917706;0.0034757692307692306;0
Alien: Isolation (video game);1319;32211;0.004111596009975062;0.004129615384615384;39
All Nippon Airways;4163;97716;0.012976932668329177;0.012527692307692307;48
All-news radio;6161;184812;0.01920511221945137;0.023693846153846152;12
AllSaints;1699;55441;0.005296134663341646;0.0071078205128205126;6
Allianz;9003;190952;0.0280642144638404;0.024481025641025642;68
Allure (magazine);4171;102308;0.013001870324189526;0.013116410256410256;40
Almond milk;2115;77103;0.006592892768079801;0.009885;3
Alpinestars;21461;391377;0.06689837905236908;0.05017653846153846;87
Alpro;6583;171547;0.020520573566084787;0.02199320512820513;31
Alternative investment;12176;281864;0.03795511221945137;0.036136410256410255;54
Alternative rock;69590;2179328;0.21692643391521196;0.27940102564102565;14
Always brand;1026;30022;0.0031982543640897755;0.003848974358974359;14
Amaretto;1727;39402;0.005383416458852867;0.0050515384615384615;51
Amaretto Disaronno;1526;38146;0.004756857855361596;0.0048905128205128205;36
Amaven Marketing;18487;346353;0.05762780548628429;0.04440423076923077;84
Amazon Fire TV;15093;334267;0.04704800498753117;0.04285474358974359;63
Amazon Music;14719;380107;0.04588216957605985;0.048731666666666666;35
Amazon Prime video;23080;509667;0.07194513715710724;0.06534192307692308;67
Amazon Web Services;4116;89840;0.012830423940149625;0.011517948717948718;61
Amazon.com;34078;797768;0.1062281795511222;0.10227794871794872;62
Ambacar;3266;52240;0.01018079800498753;0.006697435897435897;92
American Airlines;2016;46706;0.00628428927680798;0.005987948717948718;49
American Express;30022;606345;0.09358478802992519;0.07773653846153847;80
American Horror Story;827;23739;0.002577930174563591;0.0030434615384615383;0
American Hostage;1508;29051;0.00470074812967581;0.0037244871794871793;77
American Society for the Prevention of Cruelty to Animals;7741;205787;0.024130299251870324;0.026382948717948718;28
American football;30666;826071;0.09559226932668329;0.10590653846153845;32
American television hosts;8022;203559;0.025006234413965087;0.026097307692307694;36
Ameriserv;1479;25330;0.004610349127182045;0.0032474358974358976;87
Amitabh Bachchan;793;30160;0.0024719451371571074;0.0038666666666666667;0
Amplifier;62264;1267156;0.19408977556109724;0.16245589743589745;87
Ancient Greece;30579;616969;0.09532107231920199;0.07909858974358974;81
Ancient history;86872;1948908;0.27079800498753115;0.24986;82
Andres Iniesta;1277;29101;0.00398067331670823;0.0037308974358974357;51
Android (operating system);113289;2858461;0.3531452618453865;0.36646935897435895;72
